sgbid	sgbname	tax_k	tax_p	tax_c	tax_o	tax_f	tax_g	tax_s	terminal_sgb	is_human_pathogen	assigned_pathogen_name	assigned_pathogen_taxid
11772	SGB11772	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_vibrioides	t__SGB11772	no	NA	NA
11773	SGB11773	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_vibrioides	t__SGB11773	no	NA	NA
11774	SGB11774	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_vibrioides	t__SGB11774	no	NA	NA
11775	SGB11775	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_radicis	t__SGB11775	no	NA	NA
11776	SGB11776	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_flavus	t__SGB11776	no	NA	NA
11777	SGB11777	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_sp_AP07	t__SGB11777	no	NA	NA
11778	SGB11778	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_sp_Root655	t__SGB11778	no	NA	NA
11779	SGB11779	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_sp_Root1455	t__SGB11779	no	NA	NA
11780	SGB11780	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_sp_Root1472	t__SGB11780	no	NA	NA
11781	SGB11781	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_sp_UNC279MFTsu5_1	t__SGB11781	no	NA	NA
11782	SGB11782	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_sp_K31	t__SGB11782	no	NA	NA
11783	SGB11783	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_henricii	t__SGB11783	no	NA	NA
11784	SGB11784	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_mirabilis	t__SGB11784	no	NA	NA
11785	SGB11785	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium_sp	t__SGB11785	no	NA	NA
11787	SGB11787	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium_sp_Root77	t__SGB11787	no	NA	NA
11788	SGB11788	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium_sp_Root700	t__SGB11788	no	NA	NA
11789	SGB11789	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium_zucineum	t__SGB11789	no	NA	NA
11790	SGB11790	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Alphaproteobacteria_unclassified	f__Alphaproteobacteria_unclassified	g__Alphaproteobacteria_unclassified	s__Alphaproteobacteria_bacterium_PA2	t__SGB11790	no	NA	NA
11797	SGB11797	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Phaeospirillum	s__Phaeospirillum_fulvum	t__SGB11797	no	NA	NA
11798	SGB11798	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Phaeospirillum	s__Phaeospirillum_fulvum	t__SGB11798	no	NA	NA
11799	SGB11799	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Phaeospirillum	s__Phaeospirillum_molischianum	t__SGB11799	no	NA	NA
11800	SGB11800	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__Magnetospirillum_sp_XM_1	t__SGB11800	no	NA	NA
11801	SGB11801	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__Magnetospirillum_sp_ME_1	t__SGB11801	no	NA	NA
11802	SGB11802	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__Magnetospirillum_caucaseum	t__SGB11802	no	NA	NA
11803	SGB11803	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__Magnetospirillum_magneticum	t__SGB11803	no	NA	NA
11804	SGB11804	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__Magnetospirillum_magnetotacticum	t__SGB11804	no	NA	NA
11805	SGB11805	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__Magnetospirillum_marisnigri	t__SGB11805	no	NA	NA
11806	SGB11806	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__Magnetospirillum_sp_64_120	t__SGB11806	no	NA	NA
11808	SGB11808	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__Magnetospirillum_gryphiswaldense	t__SGB11808	no	NA	NA
11809	SGB11809	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__Magnetospirillum_moscoviense	t__SGB11809	no	NA	NA
11810	SGB11810	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhodobiaceae	g__Roseospirillum	s__Roseospirillum_parvum	t__SGB11810	no	NA	NA
11811	SGB11811	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Rhodospira	s__Rhodospira_trueperi	t__SGB11811	no	NA	NA
11812	SGB11812	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Rhodospirillum	s__Rhodospirillum_rubrum	t__SGB11812	no	NA	NA
11813	SGB11813	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Pararhodospirillum	s__Pararhodospirillum_photometricum	t__SGB11813	no	NA	NA
11814	SGB11814	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Telmatospirillum	s__Telmatospirillum_siberiense	t__SGB11814	no	NA	NA
11815	SGB11815	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Insolitispirillum	s__Insolitispirillum_peregrinum	t__SGB11815	no	NA	NA
11818	SGB11818	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiales_unclassified	g__Chromatiales_unclassified	s__Chromatiales_bacterium	t__SGB11818	no	NA	NA
11823	SGB11823	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_hydrothermalis	t__SGB11823	no	NA	NA
11824	SGB11824	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_meridiana	t__SGB11824	no	NA	NA
11825	SGB11825	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_SUBG004	t__SGB11825	no	NA	NA
11826	SGB11826	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_campaniensis	t__SGB11826	no	NA	NA
11827	SGB11827	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_TD01	t__SGB11827	no	NA	NA
11828	SGB11828	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_Soap_Lake_6	t__SGB11828	no	NA	NA
11829	SGB11829	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_nigrificans	t__SGB11829	no	NA	NA
11830	SGB11830	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_GFAJ_1	t__SGB11830	no	NA	NA
11831	SGB11831	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_hl_4	t__SGB11831	no	NA	NA
11832	SGB11832	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_subterranea	t__SGB11832	no	NA	NA
11833	SGB11833	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_arcis	t__SGB11833	no	NA	NA
11834	SGB11834	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_HAL1	t__SGB11834	no	NA	NA
11835	SGB11835	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_KO116	t__SGB11835	no	NA	NA
11837	SGB11837	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_A3H3	t__SGB11837	no	NA	NA
11839	SGB11839	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp	t__SGB11839	no	NA	NA
11840	SGB11840	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_campaniensis	t__SGB11840	no	NA	NA
11841	SGB11841	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_boliviensis	t__SGB11841	no	NA	NA
11842	SGB11842	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_ALS9	t__SGB11842	no	NA	NA
11843	SGB11843	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_QHL1	t__SGB11843	no	NA	NA
11844	SGB11844	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_JB37	t__SGB11844	no	NA	NA
11845	SGB11845	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_JB380	t__SGB11845	no	NA	NA
11846	SGB11846	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_es_049	t__SGB11846	no	NA	NA
11847	SGB11847	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_subglaciescola	t__SGB11847	no	NA	NA
11848	SGB11848	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Kushneria	s__Kushneria_marisflavi	t__SGB11848	no	NA	NA
11849	SGB11849	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Kushneria	s__Kushneria_avicenniae	t__SGB11849	no	NA	NA
11850	SGB11850	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Kushneria	s__Kushneria_sp_YCWA18	t__SGB11850	no	NA	NA
11851	SGB11851	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_huangheensis	t__SGB11851	no	NA	NA
11852	SGB11852	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_cupida	t__SGB11852	no	NA	NA
11853	SGB11853	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Cobetia	s__Cobetia_sp	t__SGB11853	no	NA	NA
11854	SGB11854	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Cobetia	s__Cobetia_sp_MM1IDA2H_1	t__SGB11854	no	NA	NA
11855	SGB11855	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Chromohalobacter	s__Chromohalobacter_japonicus	t__SGB11855	no	NA	NA
11856	SGB11856	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Chromohalobacter	s__Chromohalobacter_canadensis	t__SGB11856	no	NA	NA
11857	SGB11857	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Chromohalobacter	s__Chromohalobacter_salexigens	t__SGB11857	no	NA	NA
11858	SGB11858	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_unclassified	f__Gammaproteobacteria_unclassified	g__Gammaproteobacteria_unclassified	s__Gammaproteobacteria_bacterium_MFB021	t__SGB11858	no	NA	NA
11859	SGB11859	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Salinicola	s__Salinicola_tamaricis	t__SGB11859	no	NA	NA
11860	SGB11860	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Salinicola	s__Salinicola_sp_MH3R3_1	t__SGB11860	no	NA	NA
11861	SGB11861	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Salinicola	s__Salinicola_socius	t__SGB11861	no	NA	NA
11862	SGB11862	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Salinicola	s__Salinicola_salarius	t__SGB11862	no	NA	NA
11863	SGB11863	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_xianhensis	t__SGB11863	no	NA	NA
11864	SGB11864	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_ilicicola	t__SGB11864	no	NA	NA
11865	SGB11865	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_muralis	t__SGB11865	no	NA	NA
11866	SGB11866	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp	t__SGB11866	no	NA	NA
11867	SGB11867	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_BC04	t__SGB11867	no	NA	NA
11868	SGB11868	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_chromatireducens	t__SGB11868	no	NA	NA
11869	SGB11869	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_endophytica	t__SGB11869	no	NA	NA
11870	SGB11870	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_caseinilytica	t__SGB11870	no	NA	NA
11871	SGB11871	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_elongata	t__SGB11871	no	NA	NA
11872	SGB11872	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_desiderata	t__SGB11872	no	NA	NA
11873	SGB11873	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_1513	t__SGB11873	no	NA	NA
11874	SGB11874	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_WRN001	t__SGB11874	no	NA	NA
11875	SGB11875	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_pantelleriensis	t__SGB11875	no	NA	NA
11876	SGB11876	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_salina	t__SGB11876	no	NA	NA
11877	SGB11877	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_beimenensis	t__SGB11877	no	NA	NA
11878	SGB11878	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_aestuarii	t__SGB11878	no	NA	NA
11879	SGB11879	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_saccharevitans	t__SGB11879	no	NA	NA
11880	SGB11880	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_sp_PBN3	t__SGB11880	no	NA	NA
11881	SGB11881	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_heilongjiangensis	t__SGB11881	no	NA	NA
11882	SGB11882	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_daqiaonensis	t__SGB11882	no	NA	NA
11883	SGB11883	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_gudaonensis	t__SGB11883	no	NA	NA
11884	SGB11884	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonadaceae_unclassified	s__Halomonadaceae_bacterium_T82_2	t__SGB11884	no	NA	NA
11885	SGB11885	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_korlensis	t__SGB11885	no	NA	NA
11886	SGB11886	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_urumqiensis	t__SGB11886	no	NA	NA
11887	SGB11887	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_taeanensis	t__SGB11887	no	NA	NA
11888	SGB11888	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halomonas	s__Halomonas_anticariensis	t__SGB11888	no	NA	NA
11889	SGB11889	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halotalea	s__Halotalea_alkalilenta	t__SGB11889	no	NA	NA
11890	SGB11890	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Aidingimonas	s__Aidingimonas_halophila	t__SGB11890	no	NA	NA
11891	SGB11891	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Spongiibacteraceae	g__Spongiibacter	s__Spongiibacter_sp	t__SGB11891	no	NA	NA
11893	SGB11893	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Spongiibacteraceae	g__Zhongshania	s__Zhongshania_aliphaticivorans	t__SGB11893	no	NA	NA
11894	SGB11894	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cellvibrionales	f__Spongiibacteraceae	g__Spongiibacter	s__Spongiibacter_sp_IMCC21906	t__SGB11894	no	NA	NA
11896	SGB11896	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Alteromonadaceae_unclassified	s__Alteromonadaceae_bacterium	t__SGB11896	no	NA	NA
11897	SGB11897	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Halomonadaceae	g__Halovibrio	s__Halovibrio_sp_YL5_2	t__SGB11897	no	NA	NA
11898	SGB11898	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Tamilnaduibacter	s__Tamilnaduibacter_salinus	t__SGB11898	no	NA	NA
11899	SGB11899	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Alteromonadaceae_unclassified	s__Alteromonadaceae_bacterium	t__SGB11899	no	NA	NA
11900	SGB11900	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_sp_LV10R520_4	t__SGB11900	no	NA	NA
11901	SGB11901	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_psychrophilus	t__SGB11901	no	NA	NA
11902	SGB11902	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_sp_ELB17	t__SGB11902	no	NA	NA
11903	SGB11903	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_sp_LV10R510_8	t__SGB11903	no	NA	NA
11904	SGB11904	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_antarcticus	t__SGB11904	no	NA	NA
11905	SGB11905	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_sp_AC_23	t__SGB11905	no	NA	NA
11906	SGB11906	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Oceanospirillales_unclassified	g__Oceanospirillales_unclassified	s__Oceanospirillales_bacterium	t__SGB11906	no	NA	NA
11907	SGB11907	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_sp_ANT_B65	t__SGB11907	no	NA	NA
11908	SGB11908	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_mobilis	t__SGB11908	no	NA	NA
11909	SGB11909	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_zhejiangensis	t__SGB11909	no	NA	NA
11910	SGB11910	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_segnicrescens	t__SGB11910	no	NA	NA
11911	SGB11911	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_daqiaonensis	t__SGB11911	no	NA	NA
11912	SGB11912	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_lutaoensis	t__SGB11912	no	NA	NA
11913	SGB11913	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_sp_LQ44	t__SGB11913	no	NA	NA
11914	SGB11914	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_vinifirmus	t__SGB11914	no	NA	NA
11915	SGB11915	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_hydrocarbonoclasticus	t__SGB11915	no	NA	NA
11916	SGB11916	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_excellens	t__SGB11916	no	NA	NA
11917	SGB11917	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_persicus	t__SGB11917	no	NA	NA
11918	SGB11918	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_santoriniensis	t__SGB11918	no	NA	NA
11919	SGB11919	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_pelagius	t__SGB11919	no	NA	NA
11920	SGB11920	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_adhaerens	t__SGB11920	no	NA	NA
11921	SGB11921	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_sp_EhN04	t__SGB11921	no	NA	NA
11922	SGB11922	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_flavimaris	t__SGB11922	no	NA	NA
11923	SGB11923	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	s__Marinobacter_sp_es_048	t__SGB11923	no	NA	NA
